R,C,A,N,Threads,Analise0_Media(us),Analise0_DevPad(us),Analise1_Media(us),Analise1_DevPad(us),Analise2_Media(us),Analise2_DevPad(us),Analise3_Media(us),Analise3_DevPad(us),Analise4_Media(us),Analise4_DevPad(us),Total_Media(us),Total_DevPad(us)
1,1,10,10,1,2.05,4.72,1.67,0.67,1.56,0.16,0.96,0.28,0.00,0.00,6.24,5.83
1,1,10,10,2,4.91,17.49,3.29,5.62,2.26,0.03,1.75,0.03,0.00,0.00,12.21,23.08
1,1,10,10,3,4.02,11.94,3.53,6.13,2.39,0.09,1.86,0.08,0.00,0.00,11.80,18.18
1,1,10,10,4,3.65,9.34,3.34,4.59,2.48,0.07,2.05,0.24,0.00,0.00,11.52,14.08
1,1,10,10,5,3.77,7.78,4.84,6.33,3.26,0.14,2.49,0.24,0.00,0.00,14.36,12.33
1,1,10,10,6,4.01,8.54,3.52,2.12,3.16,0.08,2.35,0.25,0.00,0.00,13.03,10.71
1,1,10,10,7,3.75,7.73,3.73,3.06,3.10,0.07,2.61,0.24,0.00,0.00,13.19,10.87
1,1,10,10,8,4.38,12.38,3.21,2.03,2.82,0.09,2.66,0.32,0.00,0.00,13.07,14.70
1,1,10,10,9,18.37,6.20,26.38,5.26,26.77,3.79,17.74,3.20,0.00,0.00,89.26,15.56
1,1,10,10,10,19.27,5.82,28.69,7.63,26.44,2.87,19.02,2.09,0.00,0.00,93.42,12.21
1,1,10,10,11,21.79,9.86,29.91,3.77,31.12,3.46,20.05,2.76,0.00,0.00,102.87,10.32
1,1,10,10,12,21.73,6.17,32.51,4.18,31.57,3.67,20.63,3.74,0.00,0.00,106.44,7.15
1,10,10,10,1,3.35,2.41,1.72,0.30,1.50,0.35,1.53,2.01,0.00,0.00,8.11,5.03
1,10,10,10,2,4.29,8.62,2.30,1.13,2.16,0.60,1.70,0.61,0.00,0.00,10.45,9.34
1,10,10,10,3,3.34,8.02,2.15,1.65,2.25,1.79,1.60,0.06,0.00,0.00,9.35,9.88
1,10,10,10,4,2.79,4.65,2.15,0.07,2.51,0.09,2.35,1.75,0.00,0.00,9.81,5.05
1,10,10,10,5,3.40,7.68,2.58,1.66,2.81,0.16,2.21,0.15,0.00,0.00,11.01,9.49
1,10,10,10,6,2.49,3.04,2.35,0.18,2.86,0.09,2.38,0.19,0.00,0.00,10.08,3.15
1,10,10,10,7,3.04,6.72,2.54,0.22,2.81,0.09,2.50,0.22,0.00,0.00,10.88,6.86
1,10,10,10,8,42.06,219.91,2.92,0.23,3.20,1.53,2.73,0.15,0.00,0.00,50.90,221.55
1,10,10,10,9,18.78,5.10,26.88,3.84,29.29,16.15,19.89,5.55,0.00,0.00,94.84,27.73
1,10,10,10,10,19.32,5.42,27.76,2.56,29.11,2.89,19.64,2.40,0.00,0.00,95.83,7.68
1,10,10,10,11,20.21,5.81,29.59,2.06,30.10,3.60,21.37,2.95,0.00,0.00,101.27,6.70
1,10,10,10,12,23.31,5.81,30.81,4.47,32.94,4.80,22.55,2.28,0.00,0.00,109.61,7.00
10,10,10,10,1,25.71,7.53,11.50,1.42,9.23,0.69,5.84,1.14,0.00,0.00,52.28,10.08
10,10,10,10,2,15.88,14.69,7.69,3.99,5.01,3.31,5.08,1.27,0.00,0.00,33.66,21.73
10,10,10,10,3,11.69,13.61,7.95,0.39,3.37,0.36,4.81,0.18,0.00,0.00,27.82,14.00
10,10,10,10,4,9.59,7.12,9.61,0.49,4.41,0.67,6.41,0.19,0.00,0.00,30.01,7.30
10,10,10,10,5,8.48,7.09,11.26,0.48,3.53,0.69,6.38,0.22,0.00,0.00,29.65,7.18
10,10,10,10,6,6.78,2.97,13.01,2.23,3.46,0.25,6.62,0.18,0.00,0.00,29.87,3.63
10,10,10,10,7,7.08,7.27,13.20,0.65,3.42,0.14,6.75,0.17,0.00,0.00,30.46,7.54
10,10,10,10,8,6.59,7.64,13.96,0.49,3.52,0.66,6.77,0.16,0.00,0.00,30.83,8.33
10,10,10,10,9,22.57,6.34,35.02,3.56,31.06,12.86,25.65,4.21,0.00,0.00,114.30,24.37
10,10,10,10,10,23.61,5.79,34.66,2.66,30.92,4.13,25.87,2.13,0.00,0.00,115.06,6.57
10,10,10,10,11,24.92,5.77,35.91,8.17,31.81,3.39,27.57,2.87,0.00,0.00,120.21,10.89
10,10,10,10,12,25.92,5.46,38.16,3.84,34.73,4.51,28.76,3.59,0.00,0.00,127.56,7.76
10,10,10,100,1,36.99,5.42,11.75,1.29,8.78,0.72,6.01,1.09,0.00,0.00,63.52,8.02
10,10,10,100,2,23.44,18.87,7.31,1.00,5.29,1.65,5.85,0.73,0.00,0.00,41.89,20.66
10,10,10,100,3,15.50,13.22,8.14,0.50,3.33,0.27,5.22,0.25,0.00,0.00,32.18,13.84
10,10,10,100,4,16.10,11.23,9.81,0.49,4.24,0.18,6.87,0.16,0.00,0.00,37.03,11.37
10,10,10,100,5,13.15,7.44,11.46,0.46,3.48,0.25,7.12,0.46,0.00,0.00,35.21,7.76
10,10,10,100,6,11.22,4.18,12.43,0.63,3.53,0.09,7.14,0.15,0.00,0.00,34.31,4.27
10,10,10,100,7,10.03,6.06,13.49,0.51,3.50,0.14,7.10,0.24,0.00,0.00,34.13,6.40
10,10,10,100,8,9.59,7.57,13.95,0.66,3.76,0.56,7.63,0.25,0.00,0.00,34.93,8.12
10,10,10,100,9,26.47,5.49,35.17,3.42,30.11,8.18,25.39,2.50,0.00,0.00,117.14,15.70
10,10,10,100,10,27.82,6.27,36.34,6.04,30.23,3.70,25.81,1.87,0.00,0.00,120.19,11.72
10,10,10,100,11,28.69,6.10,35.32,3.30,31.32,2.78,28.30,2.31,0.00,0.00,123.63,7.39
10,10,10,100,12,33.56,16.44,36.52,5.69,35.22,4.15,30.05,3.91,0.00,0.00,135.35,18.37
10,10,100,100,1,357.69,18.34,103.34,8.63,96.50,1.73,89.91,8.73,0.00,0.00,647.45,23.40
10,10,100,100,2,183.69,25.21,51.84,3.55,50.43,0.60,84.69,0.44,0.00,0.00,370.66,26.70
10,10,100,100,3,143.11,28.30,40.90,7.53,41.58,3.97,88.58,7.24,0.00,0.00,314.17,37.24
10,10,100,100,4,109.73,20.26,31.56,4.49,35.29,0.32,89.19,3.69,0.00,0.00,265.77,25.75
10,10,100,100,5,105.80,6.83,29.21,1.60,32.51,0.47,88.67,0.31,0.00,0.00,256.18,7.78
10,10,100,100,6,88.88,6.88,25.85,1.91,30.80,0.27,89.15,2.78,0.00,0.00,234.68,7.50
10,10,100,100,7,77.11,9.38,29.68,36.56,31.39,1.16,89.61,3.81,0.00,0.00,227.79,39.45
10,10,100,100,8,68.91,12.91,20.34,0.21,31.16,0.26,105.42,0.45,0.00,0.00,225.84,13.04
10,10,100,100,9,125.17,37.71,57.77,12.56,62.48,25.20,105.05,3.46,0.00,0.00,350.47,61.08
10,10,100,100,10,110.98,9.51,54.69,4.39,53.02,2.91,105.58,2.80,0.00,0.00,324.28,11.27
10,10,100,100,11,109.80,14.08,55.84,4.47,59.39,13.82,107.35,3.63,0.00,0.00,332.38,20.30
10,10,100,100,12,109.47,16.52,58.62,6.09,59.85,4.69,108.28,4.27,0.00,0.00,336.21,18.94
10,100,100,100,1,3781.88,105.43,1046.84,36.23,916.85,32.40,907.14,24.29,0.00,0.00,6652.71,136.50
10,100,100,100,2,2092.30,56.74,523.56,13.09,484.24,10.44,860.00,13.00,0.00,0.00,3960.09,59.87
10,100,100,100,3,1974.94,96.94,374.55,31.93,363.59,11.85,886.57,25.50,0.00,0.00,3599.64,143.31
10,100,100,100,4,1850.18,60.11,281.69,9.40,281.45,4.39,886.24,12.29,0.00,0.00,3299.57,62.17
10,100,100,100,5,1992.96,33.57,303.07,6.48,325.67,13.98,916.68,8.35,0.00,0.00,3538.38,44.05
10,100,100,100,6,1913.09,104.57,253.01,2.53,273.69,2.85,908.17,17.90,0.00,0.00,3347.95,100.78
10,100,100,100,7,1879.31,44.93,222.71,22.07,299.77,41.46,917.72,24.48,0.00,0.00,3319.51,69.47
10,100,100,100,8,1925.54,126.00,195.36,5.26,306.88,58.79,1068.43,10.00,0.00,0.00,3496.20,140.52
10,100,100,100,9,2147.61,48.37,419.34,53.14,380.54,45.90,975.89,33.95,0.00,0.00,3923.38,120.87
10,100,100,100,10,2032.73,88.93,381.22,70.97,359.71,39.92,962.44,34.59,0.00,0.00,3736.10,137.31
10,100,100,100,11,2000.21,88.91,344.68,55.94,363.28,42.58,974.42,39.91,0.00,0.00,3682.60,160.54
10,100,100,100,12,2006.36,113.77,393.56,71.42,381.34,61.16,961.99,42.47,0.00,0.00,3743.25,192.22
100,100,100,100,1,37317.72,931.03,10185.87,71.87,8912.76,101.37,8724.67,199.42,0.00,0.00,65141.02,1159.04
100,100,100,100,2,20359.69,146.69,5186.62,97.53,4551.43,110.39,8187.00,67.05,0.00,0.00,38284.74,239.51
100,100,100,100,3,19328.53,362.62,3612.99,42.87,3072.70,24.82,8116.42,83.38,0.00,0.00,34130.64,416.11
100,100,100,100,4,19060.45,692.06,2983.65,374.10,2618.75,392.55,8122.49,129.67,0.00,0.00,32785.34,1527.44
100,100,100,100,5,19170.11,359.37,2936.90,17.43,2683.78,29.88,8255.99,65.20,0.00,0.00,33046.78,388.15
100,100,100,100,6,18621.52,111.52,2469.83,7.46,2291.83,20.08,8224.40,175.19,0.00,0.00,31607.58,239.74
100,100,100,100,7,18482.69,202.49,2228.11,342.94,1989.47,17.81,8278.15,65.78,0.00,0.00,30978.42,447.58
100,100,100,100,8,18479.02,180.10,1924.91,119.84,1768.75,77.61,8280.50,68.42,0.00,0.00,30453.18,246.69
100,100,100,100,9,19955.46,434.63,2910.24,80.94,2566.35,64.44,8187.25,66.89,0.00,0.00,33619.30,435.97
100,100,100,100,10,19249.59,506.75,2681.77,85.79,2415.85,131.68,8258.12,146.62,0.00,0.00,32605.33,530.69
100,100,100,100,11,18968.19,404.43,2559.53,151.01,2305.37,140.32,8177.75,165.93,0.00,0.00,32010.84,530.78
100,100,100,100,12,18921.63,266.34,2500.65,144.62,2208.99,133.78,8178.72,93.31,0.00,0.00,31810.00,342.15
100,100,1000,100,1,370160.72,11827.01,94315.90,301.02,87528.34,267.29,104879.85,238.20,0.00,0.00,656884.81,11793.08
100,100,1000,100,2,203607.11,7299.09,47855.24,350.75,45369.88,317.10,95556.72,427.92,0.00,0.00,392388.96,7287.51
100,100,1000,100,3,184731.76,1356.37,32656.48,211.51,31728.20,232.40,92362.23,410.89,0.00,0.00,341478.67,1467.94
100,100,1000,100,4,180271.02,594.84,25299.49,1315.12,24717.57,99.67,90582.48,403.15,0.00,0.00,320870.56,1396.31
100,100,1000,100,5,192179.83,334.65,26859.55,41.39,26029.69,55.91,92108.92,473.42,0.00,0.00,337177.99,617.76
100,100,1000,100,6,183037.90,691.64,22468.48,91.18,23053.79,146.66,90827.80,269.88,0.00,0.00,319387.97,792.07
100,100,1000,100,7,182893.57,572.36,19495.53,152.59,20662.33,284.96,90402.92,448.88,0.00,0.00,313454.34,783.45
100,100,1000,100,8,182743.89,1208.52,17614.71,374.56,18883.22,170.16,89770.40,622.77,0.00,0.00,309012.22,1266.81
