R,C,A,N,Threads,Analise0_Media(us),Analise0_DevPad(us),Analise1_Media(us),Analise1_DevPad(us),Analise2_Media(us),Analise2_DevPad(us),Analise3_Media(us),Analise3_DevPad(us),Analise4_Media(us),Analise4_DevPad(us),Total_Media(us),Total_DevPad(us)
1,1,10,10,1,2.05,4.72,1.66,0.60,1.56,0.16,0.96,0.27,0.00,0.00,6.24,5.75
1,1,10,10,2,4.46,14.92,3.47,6.55,2.26,0.04,1.69,0.03,0.00,0.00,11.88,21.45
1,1,10,10,3,4.85,16.57,3.27,4.70,2.38,0.07,1.82,0.06,0.00,0.00,12.31,21.36
1,1,10,10,4,3.73,8.61,3.40,2.32,2.97,0.13,2.36,0.81,0.00,0.00,12.47,11.09
1,1,10,10,5,4.05,9.50,4.22,5.44,3.22,0.06,2.53,0.16,0.00,0.00,14.01,15.00
1,1,10,10,6,3.89,8.12,3.60,2.18,3.22,0.08,2.46,0.25,0.00,0.00,13.18,10.38
1,1,10,10,7,3.83,7.80,3.79,3.22,3.28,0.68,2.67,0.21,0.00,0.00,13.57,11.76
1,1,10,10,8,4.23,11.55,3.20,1.81,2.85,0.07,2.49,0.17,0.00,0.00,12.77,13.42
1,1,10,10,9,30.10,65.91,26.81,5.26,26.88,4.10,19.21,5.17,0.00,0.00,103.00,78.38
1,1,10,10,10,18.44,5.70,29.88,8.03,27.19,3.02,18.60,1.78,0.00,0.00,94.11,13.55
1,1,10,10,11,20.22,6.35,30.71,4.09,29.61,3.44,20.49,2.37,0.00,0.00,101.03,8.43
1,1,10,10,12,22.81,5.03,31.73,2.98,31.37,3.82,21.62,2.95,0.00,0.00,107.53,8.10
1,10,10,10,1,3.27,1.96,1.71,0.24,1.49,0.29,1.82,2.67,0.00,0.00,8.30,4.87
1,10,10,10,2,5.65,15.77,3.12,2.97,2.93,2.67,2.54,2.54,0.00,0.00,14.24,18.09
1,10,10,10,3,3.21,5.88,2.57,1.62,2.42,0.07,2.05,0.03,0.00,0.00,10.25,7.42
1,10,10,10,4,3.11,5.97,2.50,1.53,2.59,0.05,2.19,0.35,0.00,0.00,10.39,7.55
1,10,10,10,5,2.65,3.47,2.62,1.55,2.80,0.09,2.29,0.10,0.00,0.00,10.35,5.02
1,10,10,10,6,2.47,2.91,2.43,0.22,2.95,0.22,2.41,0.16,0.00,0.00,10.27,3.01
1,10,10,10,7,2.90,5.29,2.47,0.24,2.87,0.09,2.51,0.47,0.00,0.00,10.75,5.53
1,10,10,10,8,3.04,6.51,2.95,0.34,3.04,0.08,2.84,0.23,0.00,0.00,11.87,6.60
1,10,10,10,9,18.18,5.91,26.30,2.66,26.88,3.08,18.70,2.63,0.00,0.00,90.07,10.24
1,10,10,10,10,19.15,5.81,27.10,2.55,28.83,3.80,19.52,2.95,0.00,0.00,94.59,6.02
1,10,10,10,11,19.86,5.67,30.37,3.43,30.03,3.46,21.52,2.99,0.00,0.00,101.79,5.98
1,10,10,10,12,22.80,4.14,31.77,3.81,32.00,3.76,22.79,8.07,0.00,0.00,109.36,9.13
10,10,10,10,1,26.04,5.86,12.21,4.32,9.42,1.06,6.04,1.19,0.00,0.00,53.70,9.31
10,10,10,10,2,15.84,13.83,7.53,3.27,4.46,0.88,5.06,0.82,0.00,0.00,32.89,17.17
10,10,10,10,3,12.02,7.41,7.53,1.85,5.17,0.30,6.20,0.22,0.00,0.00,30.91,8.83
10,10,10,10,4,10.15,9.81,9.53,0.61,4.65,1.42,6.93,3.38,0.00,0.00,31.27,11.18
10,10,10,10,5,8.46,7.29,11.57,0.50,3.32,0.37,6.40,0.17,0.00,0.00,29.75,7.43
10,10,10,10,6,6.96,3.68,12.51,0.43,3.33,0.18,6.65,0.27,0.00,0.00,29.45,3.79
10,10,10,10,7,6.73,5.64,13.73,0.86,3.39,0.24,6.71,0.16,0.00,0.00,30.55,5.89
10,10,10,10,8,6.49,7.05,14.87,2.55,3.51,0.19,6.94,0.40,0.00,0.00,31.82,7.72
10,10,10,10,9,22.28,6.19,36.10,3.00,29.49,2.91,25.18,2.41,0.00,0.00,113.05,9.75
10,10,10,10,10,24.91,6.75,36.75,9.90,30.18,2.93,26.19,2.87,0.00,0.00,118.03,14.28
10,10,10,10,11,24.30,6.04,35.29,2.45,31.51,2.92,26.61,3.23,0.00,0.00,117.71,7.27
10,10,10,10,12,26.16,7.15,36.26,2.79,33.45,2.94,30.86,3.20,0.00,0.00,126.73,7.39
10,10,10,100,1,37.86,3.97,12.07,3.58,8.65,0.62,5.94,1.06,0.00,0.00,64.52,6.54
10,10,10,100,2,28.80,10.99,8.90,1.96,6.91,0.42,7.42,2.03,0.00,0.00,52.03,14.56
10,10,10,100,3,19.34,8.33,7.56,0.27,5.48,1.92,6.66,0.07,0.00,0.00,39.05,10.41
10,10,10,100,4,16.17,9.69,9.72,0.36,4.42,0.18,6.96,0.91,0.00,0.00,37.26,9.90
10,10,10,100,5,12.49,5.59,10.94,0.53,3.44,0.16,7.30,2.12,0.00,0.00,34.17,7.48
10,10,10,100,6,12.22,11.32,13.19,0.89,3.55,0.13,7.20,0.61,0.00,0.00,36.15,11.94
10,10,10,100,7,9.98,5.78,13.87,0.68,3.61,0.12,7.74,1.45,0.00,0.00,35.20,5.88
10,10,10,100,8,18.02,54.59,14.36,0.58,3.89,0.40,7.92,0.77,0.00,0.00,44.19,55.58
10,10,10,100,9,28.22,7.84,35.92,3.33,27.71,3.46,25.82,2.37,0.00,0.00,117.67,11.26
10,10,10,100,10,27.86,5.43,34.29,3.00,29.47,2.84,26.74,1.83,0.00,0.00,118.36,6.35
10,10,10,100,11,29.28,6.71,34.84,3.29,33.95,12.36,28.13,2.56,0.00,0.00,126.21,13.23
10,10,10,100,12,31.46,6.62,37.24,4.61,33.61,3.47,32.29,13.40,0.00,0.00,134.60,15.96
10,10,100,100,1,355.31,14.53,101.37,5.01,96.33,0.84,89.59,5.47,0.00,0.00,642.60,17.94
10,10,100,100,2,182.69,26.50,52.45,8.38,50.64,0.83,84.89,2.26,0.00,0.00,370.66,28.26
10,10,100,100,3,128.41,16.43,36.50,2.49,40.48,0.31,86.35,3.22,0.00,0.00,291.73,19.48
10,10,100,100,4,131.29,16.09,36.35,2.89,39.62,3.06,105.35,8.58,0.00,0.00,312.61,19.03
10,10,100,100,5,107.96,15.98,30.09,0.37,27.12,0.54,105.69,0.38,0.00,0.00,270.86,16.24
10,10,100,100,6,88.95,5.48,26.02,0.28,27.50,0.59,105.22,1.10,0.00,0.00,247.69,5.82
10,10,100,100,7,80.06,13.97,23.23,0.24,31.01,0.37,105.19,0.42,0.00,0.00,239.49,14.32
10,10,100,100,8,68.84,11.69,20.44,0.20,31.17,0.90,105.06,0.51,0.00,0.00,225.50,11.74
10,10,100,100,9,118.49,10.25,60.28,27.77,59.45,26.00,104.39,2.09,0.00,0.00,342.61,62.82
10,10,100,100,10,109.63,9.97,55.54,4.01,54.27,4.74,106.33,4.86,0.00,0.00,325.77,13.51
10,10,100,100,11,109.38,13.53,57.31,7.33,56.96,6.42,106.61,4.98,0.00,0.00,330.26,17.46
10,10,100,100,12,115.84,21.99,60.14,7.69,65.80,37.52,108.93,3.95,0.00,0.00,350.72,47.83
10,100,100,100,1,3736.51,132.91,1025.07,8.75,911.72,14.13,908.91,25.01,0.00,0.00,6582.21,157.45
10,100,100,100,2,2162.21,364.45,556.94,73.04,524.37,80.74,902.26,88.42,0.00,0.00,4145.78,594.59
10,100,100,100,3,1839.44,66.60,363.04,14.60,361.36,6.60,881.60,17.56,0.00,0.00,3445.44,71.72
10,100,100,100,4,1878.99,111.50,329.08,44.18,319.96,40.97,986.09,93.65,0.00,0.00,3514.12,281.99
10,100,100,100,5,1929.66,30.43,300.01,3.67,312.24,4.24,1080.05,9.26,0.00,0.00,3621.96,31.56
10,100,100,100,6,1816.89,21.39,252.74,7.29,284.46,77.60,1074.54,7.16,0.00,0.00,3428.63,76.55
10,100,100,100,7,1817.47,38.65,224.11,43.26,286.70,3.80,1076.28,5.89,0.00,0.00,3404.56,62.42
10,100,100,100,8,1800.97,56.28,192.18,5.23,300.79,40.61,1066.34,7.05,0.00,0.00,3360.27,65.84
10,100,100,100,9,2050.90,43.35,411.33,29.61,370.19,43.60,952.88,22.40,0.00,0.00,3785.30,83.07
10,100,100,100,10,1920.78,71.38,373.33,44.08,358.78,59.16,947.55,35.10,0.00,0.00,3600.43,123.54
10,100,100,100,11,1907.79,78.04,375.43,62.62,368.48,48.17,961.96,38.82,0.00,0.00,3613.67,149.85
10,100,100,100,12,1930.34,90.38,373.05,61.37,378.69,69.95,961.42,36.07,0.00,0.00,3643.50,159.69
100,100,100,100,1,37473.31,908.81,10192.55,32.80,8983.29,383.12,8809.68,290.74,0.00,0.00,65458.83,1209.31
100,100,100,100,2,22151.16,1086.59,5238.24,47.15,4575.82,47.00,8314.96,109.54,0.00,0.00,40280.18,1171.39
100,100,100,100,3,19372.87,308.94,3618.70,68.30,3148.89,174.25,8201.65,78.71,0.00,0.00,34342.12,448.33
100,100,100,100,4,19348.26,643.01,3144.19,423.46,2780.19,425.53,8301.25,110.90,0.00,0.00,33573.89,1524.09
100,100,100,100,5,19495.99,327.40,2955.13,21.87,2700.27,20.66,8294.54,122.60,0.00,0.00,33445.93,307.52
100,100,100,100,6,18856.60,170.25,2459.37,52.36,2244.20,28.79,8251.21,90.39,0.00,0.00,31811.38,253.25
100,100,100,100,7,18706.01,132.04,2172.25,61.08,1998.46,6.58,8346.43,59.89,0.00,0.00,31223.15,157.15
100,100,100,100,8,18838.41,205.54,1900.70,115.68,1817.39,150.38,8351.34,95.40,0.00,0.00,30907.85,337.85
100,100,100,100,9,20058.25,502.48,2927.57,80.14,2523.51,82.44,8354.66,83.32,0.00,0.00,33864.00,523.05
100,100,100,100,10,19351.58,378.11,2740.91,150.53,2419.44,126.97,8329.84,114.76,0.00,0.00,32841.77,477.52
100,100,100,100,11,19129.69,292.17,2559.13,152.81,2319.33,138.99,8298.17,76.03,0.00,0.00,32306.31,428.66
100,100,100,100,12,19062.37,293.77,2481.13,175.76,2218.77,122.17,8278.83,100.92,0.00,0.00,32041.10,392.03
100,100,1000,100,1,370629.54,11566.91,94433.21,551.88,87558.83,203.37,104854.54,254.14,0.00,0.00,657476.13,11561.83
100,100,1000,100,2,201471.39,2361.72,47809.70,327.00,45300.24,254.37,95915.62,484.33,0.00,0.00,390496.96,2837.46
100,100,1000,100,3,186159.12,899.73,32805.90,259.11,31801.33,179.99,92505.83,301.54,0.00,0.00,343272.19,1246.20
100,100,1000,100,4,181558.39,971.54,25064.02,582.73,24607.76,110.57,90696.32,372.49,0.00,0.00,321926.49,1120.69
100,100,1000,100,5,193911.75,1270.20,26807.04,46.87,26858.88,75.89,92075.95,194.76,0.00,0.00,339653.62,1241.84
100,100,1000,100,6,184906.87,427.39,22361.09,63.47,22849.06,281.87,91050.61,283.45,0.00,0.00,321167.63,556.85
100,100,1000,100,7,184521.35,477.14,19577.17,461.61,20999.17,104.63,90115.61,204.83,0.00,0.00,315213.31,637.84
100,100,1000,100,8,184231.32,544.37,18110.79,2086.30,18802.02,371.79,89910.34,362.82,0.00,0.00,311054.48,2051.47
100,100,1000,100,9,189390.93,3298.38,24678.79,1108.51,23091.54,1515.56,91336.64,393.23,0.00,0.00,328497.90,4111.68
100,100,1000,100,10,186130.00,1630.79,23352.67,1206.60,22460.65,775.74,91247.60,632.36,0.00,0.00,323190.93,1892.10
