R,C,A,N,Threads,Analise0_Media(us),Analise0_DevPad(us),Analise1_Media(us),Analise1_DevPad(us),Analise2_Media(us),Analise2_DevPad(us),Analise3_Media(us),Analise3_DevPad(us),Analise4_Media(us),Analise4_DevPad(us),Total_Media(us),Total_DevPad(us)
1,1,10,10,1,1.29,1.31,0.84,0.23,0.75,0.08,0.60,0.19,8.66,6.22,12.15,7.60
1,1,10,10,2,9.45,26.94,6.17,11.73,0.89,0.19,0.77,0.12,6.09,1.35,23.37,38.39
1,1,10,10,3,3.83,9.76,2.58,5.44,0.88,0.06,0.76,0.05,5.30,1.09,13.35,16.30
1,1,10,10,4,3.83,9.51,2.13,3.82,0.92,0.05,2.37,4.08,4.92,0.81,14.18,14.17
1,1,10,10,5,3.56,8.81,2.34,4.50,0.92,0.04,1.15,0.08,4.86,0.60,12.83,13.85
1,1,10,10,6,3.26,7.71,2.31,4.18,0.97,0.04,1.31,0.08,4.93,0.47,12.78,12.14
1,1,10,10,7,4.25,10.54,2.03,2.92,1.12,0.08,1.50,0.13,5.99,0.60,14.88,13.25
1,1,10,10,8,165.69,520.82,2.52,4.23,1.22,0.12,1.79,0.19,3.78,2.04,174.99,527.20
1,1,10,10,9,28.07,33.55,29.84,8.49,21.72,4.31,16.76,3.40,8.84,2.20,105.24,44.84
1,1,10,10,10,22.74,8.66,28.98,11.59,26.66,4.35,16.51,4.27,8.08,1.06,102.98,18.24
1,1,10,10,11,31.71,13.16,47.20,29.35,41.30,10.59,25.25,7.30,8.23,1.41,153.70,40.72
1,1,10,10,12,36.10,11.64,49.74,9.93,52.30,8.96,38.39,10.58,7.85,1.41,184.38,24.92
1,10,10,10,1,1.57,0.62,1.31,0.71,1.29,0.67,1.12,0.62,4.14,1.08,9.42,3.62
1,10,10,10,2,64.41,199.68,1.06,0.18,1.23,0.09,1.03,0.08,3.93,0.88,71.65,200.71
1,10,10,10,3,3.04,6.15,1.17,0.22,1.33,0.05,1.30,0.09,4.86,0.47,11.71,6.86
1,10,10,10,4,2.56,4.65,1.15,0.19,1.41,0.06,1.41,0.06,4.92,0.63,11.44,5.43
1,10,10,10,5,2.55,4.90,1.13,0.18,1.48,0.06,1.63,0.10,4.75,0.33,11.54,5.18
1,10,10,10,6,2.47,4.55,1.19,0.11,1.48,0.04,1.69,0.15,5.38,0.86,12.21,5.39
1,10,10,10,7,3.68,8.09,1.32,0.20,1.60,0.06,1.98,0.12,5.71,0.43,14.29,8.71
1,10,10,10,8,933.38,2047.70,999.72,2157.64,2301.12,5120.76,643.21,1594.69,9.15,12.64,4886.59,10440.81
1,10,10,10,9,36.43,48.59,35.61,13.65,32.14,12.17,19.18,5.80,10.12,3.74,133.48,64.72
1,10,10,10,10,32.03,19.43,34.60,8.97,33.75,11.62,20.71,6.79,8.17,2.34,129.26,34.25
1,10,10,10,11,36.50,13.96,44.31,8.40,53.03,16.42,27.34,6.51,14.35,7.43,175.53,19.32
1,10,10,10,12,46.17,12.76,58.20,14.27,60.80,9.88,36.82,7.88,8.81,5.20,210.80,22.00
10,10,10,10,1,8.82,0.36,9.91,1.67,9.80,0.66,8.69,0.40,4.28,0.59,41.50,3.52
10,10,10,10,2,129.91,392.10,4.97,1.12,5.17,0.58,7.96,0.69,5.72,0.97,153.72,394.85
10,10,10,10,3,6.67,6.44,3.35,1.15,3.60,0.14,7.00,0.32,5.23,1.10,25.85,7.42
10,10,10,10,4,5.73,4.25,3.69,0.66,3.98,0.17,7.29,1.15,5.09,0.77,25.77,6.85
10,10,10,10,5,6.03,5.41,3.07,0.59,3.18,0.15,6.62,0.25,5.23,0.46,24.13,6.58
10,10,10,10,6,5.03,5.69,2.63,0.42,3.13,0.12,6.48,0.14,4.84,0.63,22.10,6.56
10,10,10,10,7,5.62,8.23,2.48,0.33,2.80,0.09,6.38,0.29,8.07,5.87,25.35,9.78
10,10,10,10,8,12.23,20.61,2.53,0.45,2.92,0.06,7.83,1.48,57.78,15.48,83.29,18.89
10,10,10,10,9,27.36,16.58,28.00,6.43,25.19,3.89,24.32,3.34,6.67,1.05,111.54,19.20
10,10,10,10,10,31.64,10.24,41.51,6.96,36.47,8.83,34.45,5.87,7.36,1.25,151.43,18.63
10,10,10,10,11,38.69,9.80,44.90,10.31,40.16,14.71,35.54,12.69,7.42,2.37,166.70,34.44
10,10,10,10,12,37.31,14.85,51.89,13.46,58.01,8.36,47.11,7.22,7.27,0.78,201.60,28.12
10,10,10,100,1,41.92,6.78,12.47,1.90,10.95,1.02,10.89,3.27,8.43,4.15,84.65,11.08
10,10,10,100,2,26.59,19.28,6.50,1.64,5.70,0.72,8.97,0.89,6.34,0.70,54.10,22.31
10,10,10,100,3,26.03,21.60,4.33,1.01,4.30,0.32,8.73,1.23,7.99,1.77,51.38,22.36
10,10,10,100,4,22.74,13.34,4.13,1.11,3.73,0.48,8.73,1.25,7.89,3.67,47.21,14.54
10,10,10,100,5,11.66,9.42,4.23,2.94,4.25,4.27,10.93,9.24,6.00,0.73,37.06,18.94
10,10,10,100,6,9.43,7.00,2.62,0.65,2.60,0.24,7.63,0.76,4.60,1.02,26.88,8.81
10,10,10,100,7,78.24,220.17,2.97,0.83,3.17,0.29,7.94,1.07,11.55,18.59,103.88,227.65
10,10,10,100,8,975.14,2004.29,2296.73,5290.06,381.27,1161.35,611.41,1904.63,54.97,68.43,4319.53,9114.65
10,10,10,100,9,209.34,538.26,31.49,15.80,29.08,7.08,28.53,9.96,9.31,5.68,307.75,572.07
10,10,10,100,10,53.20,24.37,49.75,23.59,52.90,34.53,66.81,75.32,7.36,1.44,230.01,132.33
10,10,10,100,11,55.29,10.70,55.98,20.84,58.22,20.82,51.21,19.22,8.19,1.41,228.89,58.10
10,10,10,100,12,62.14,25.95,68.25,16.93,61.77,9.38,46.98,8.36,7.72,0.79,246.87,34.16
10,10,100,100,1,399.87,91.67,109.66,20.67,103.88,13.86,84.30,7.98,7.92,7.89,705.64,118.61
10,10,100,100,2,322.12,117.19,83.44,20.61,81.20,19.77,101.00,16.93,7.13,5.68,594.90,135.35
10,10,100,100,3,182.89,43.13,49.07,4.89,59.40,12.51,91.36,9.72,5.19,1.25,387.90,52.65
10,10,100,100,4,153.15,54.50,39.52,5.37,55.76,10.45,102.53,22.72,5.16,0.68,356.12,61.94
10,10,100,100,5,82.55,13.69,30.51,2.36,35.90,7.34,89.84,2.17,5.56,0.28,244.36,16.01
10,10,100,100,6,131.07,168.19,25.95,1.65,31.98,0.94,90.73,5.44,5.64,1.00,285.38,174.60
10,10,100,100,7,111.21,102.64,123.13,230.77,41.95,18.80,93.12,10.35,19.54,9.75,388.95,265.54
10,10,100,100,8,74.22,55.05,20.52,0.44,44.86,40.87,90.39,5.46,72.20,4.70,302.19,65.32
10,10,100,100,9,224.45,280.68,90.00,61.04,68.81,20.48,113.27,15.71,9.03,3.70,505.56,291.04
10,10,100,100,10,175.49,90.49,98.27,58.02,75.51,21.45,116.56,9.90,8.65,2.05,474.50,149.17
10,10,100,100,11,273.97,171.56,132.44,68.01,122.69,56.43,129.45,13.58,10.31,3.38,668.87,213.20
10,10,100,100,12,401.88,214.59,266.72,444.02,161.50,79.08,160.22,51.84,15.70,7.53,1006.03,537.21
10,100,100,100,1,4155.99,624.81,1129.53,87.80,1078.04,104.67,1000.62,112.59,17.74,8.88,7381.93,708.04
10,100,100,100,2,3263.23,356.50,770.25,100.49,775.58,113.31,975.58,71.49,16.25,16.10,5800.89,525.82
10,100,100,100,3,2680.77,463.13,367.17,13.77,391.91,26.39,859.36,18.30,9.32,1.82,4308.53,493.17
10,100,100,100,4,2711.78,407.33,378.37,2.87,385.84,14.59,926.40,22.64,11.69,9.44,4414.08,441.33
10,100,100,100,5,2526.14,237.92,298.32,2.40,287.84,11.61,915.78,18.85,9.76,2.95,4037.83,260.23
10,100,100,100,6,2998.44,328.73,261.76,10.19,296.13,13.48,922.14,22.35,14.84,5.65,4493.30,352.54
10,100,100,100,7,2686.76,212.31,235.07,37.91,299.76,29.10,907.69,18.86,58.96,38.21,4188.23,262.35
10,100,100,100,8,2611.55,480.25,250.18,133.99,284.67,9.47,1027.92,413.41,97.70,52.85,4272.02,748.82
10,100,100,100,9,3326.38,648.06,491.31,106.43,493.29,120.96,2025.26,2704.35,113.50,281.30,6449.73,3118.65
10,100,100,100,10,3037.83,399.85,561.25,198.54,492.82,133.89,1039.18,102.20,16.26,6.03,5147.34,416.29
10,100,100,100,11,3062.54,296.69,480.59,91.08,564.80,309.74,1062.11,110.64,17.46,8.31,5187.50,450.46
10,100,100,100,12,3254.12,324.62,476.80,78.87,456.41,65.82,1005.45,70.22,14.51,3.38,5207.29,399.37
100,100,100,100,1,36530.15,1862.76,10826.52,293.34,9999.92,426.60,9477.04,606.71,39.10,9.59,66872.72,2417.76
100,100,100,100,2,30915.25,1478.22,5651.25,342.11,5184.77,125.27,8749.31,263.41,38.86,11.12,50539.44,1654.89
